Student ID,Category,variable,mastery_points
1007608,Core,D.1,0
1007608,Core,D.2,0
1007608,Core,L.2a,0
1007608,Core,L.2b,1
1007608,Core,L.3a,0
1007608,Core,L.3b,1
1007608,Core,L.4,0
1007608,Core,L.5,1
1007608,Core,L.6a,0
1007608,Core,L.6b,0
1007608,Supplementary,L.1a*,1
1007608,Supplementary,L.1b*,2
1007608,Supplementary,L.5*,0
1007608,Supplementary,L.7*,1
1007608,Supplementary,L.8*,1
1008954,Core,D.1,0
1008954,Core,D.2,0
1008954,Core,L.2a,3
1008954,Core,L.2b,3
1008954,Core,L.3a,1
1008954,Core,L.3b,2
1008954,Core,L.4,3
1008954,Core,L.5,1
1008954,Core,L.6a,2
1008954,Core,L.6b,1
1008954,Supplementary,L.1a*,3
1008954,Supplementary,L.1b*,3
1008954,Supplementary,L.5*,1
1008954,Supplementary,L.7*,1
1008954,Supplementary,L.8*,2
1009465,Core,D.1,1
1009465,Core,D.2,1
1009465,Core,L.2a,3
1009465,Core,L.2b,3
1009465,Core,L.3a,2
1009465,Core,L.3b,2
1009465,Core,L.4,2
1009465,Core,L.5,0
1009465,Core,L.6a,1
1009465,Core,L.6b,1
1009465,Supplementary,L.1a*,2
1009465,Supplementary,L.1b*,3
1009465,Supplementary,L.5*,1
1009465,Supplementary,L.7*,1
1009465,Supplementary,L.8*,2
1015004,Core,D.1,0
1015004,Core,D.2,0
1015004,Core,L.2a,2
1015004,Core,L.2b,2
1015004,Core,L.3a,1
1015004,Core,L.3b,1
1015004,Core,L.4,3
1015004,Core,L.5,0
1015004,Core,L.6a,0
1015004,Core,L.6b,0
1015004,Supplementary,L.1a*,2
1015004,Supplementary,L.1b*,3
1015004,Supplementary,L.5*,1
1015004,Supplementary,L.7*,0
1015004,Supplementary,L.8*,2
1025975,Core,D.1,1
1025975,Core,D.2,1
1025975,Core,L.2a,3
1025975,Core,L.2b,3
1025975,Core,L.3a,3
1025975,Core,L.3b,3
1025975,Core,L.4,2
1025975,Core,L.5,1
1025975,Core,L.6a,3
1025975,Core,L.6b,3
1025975,Supplementary,L.1a*,3
1025975,Supplementary,L.1b*,3
1025975,Supplementary,L.5*,2
1025975,Supplementary,L.7*,2
1025975,Supplementary,L.8*,1
1026088,Core,D.1,0
1026088,Core,D.2,1
1026088,Core,L.2a,2
1026088,Core,L.2b,2
1026088,Core,L.3a,1
1026088,Core,L.3b,1
1026088,Core,L.4,3
1026088,Core,L.5,1
1026088,Core,L.6a,2
1026088,Core,L.6b,2
1026088,Supplementary,L.1a*,3
1026088,Supplementary,L.1b*,3
1026088,Supplementary,L.5*,1
1026088,Supplementary,L.7*,1
1026088,Supplementary,L.8*,2
1026346,Core,D.1,0
1026346,Core,D.2,0
1026346,Core,L.2a,1
1026346,Core,L.2b,1
1026346,Core,L.3a,1
1026346,Core,L.3b,2
1026346,Core,L.4,0
1026346,Core,L.5,0
1026346,Core,L.6a,1
1026346,Core,L.6b,0
1026346,Supplementary,L.1a*,2
1026346,Supplementary,L.1b*,2
1026346,Supplementary,L.5*,0
1026346,Supplementary,L.7*,0
1026346,Supplementary,L.8*,2
1026848,Core,D.1,1
1026848,Core,D.2,1
1026848,Core,L.2a,3
1026848,Core,L.2b,3
1026848,Core,L.3a,3
1026848,Core,L.3b,2
1026848,Core,L.4,3
1026848,Core,L.5,1
1026848,Core,L.6a,2
1026848,Core,L.6b,2
1026848,Supplementary,L.1a*,3
1026848,Supplementary,L.1b*,3
1026848,Supplementary,L.5*,2
1026848,Supplementary,L.7*,1
1026848,Supplementary,L.8*,2
1028812,Core,D.1,1
1028812,Core,D.2,0
1028812,Core,L.2a,2
1028812,Core,L.2b,3
1028812,Core,L.3a,3
1028812,Core,L.3b,1
1028812,Core,L.4,2
1028812,Core,L.5,0
1028812,Core,L.6a,2
1028812,Core,L.6b,0
1028812,Supplementary,L.1a*,1
1028812,Supplementary,L.1b*,3
1028812,Supplementary,L.5*,0
1028812,Supplementary,L.7*,1
1028812,Supplementary,L.8*,2
1030219,Core,D.1,0
1030219,Core,D.2,1
1030219,Core,L.2a,1
1030219,Core,L.2b,0
1030219,Core,L.3a,1
1030219,Core,L.3b,1
1030219,Core,L.4,1
1030219,Core,L.5,0
1030219,Core,L.6a,1
1030219,Core,L.6b,0
1030219,Supplementary,L.1a*,1
1030219,Supplementary,L.1b*,2
1030219,Supplementary,L.5*,2
1030219,Supplementary,L.7*,0
1030219,Supplementary,L.8*,1
1032997,Core,D.1,1
1032997,Core,D.2,0
1032997,Core,L.2a,1
1032997,Core,L.2b,1
1032997,Core,L.3a,0
1032997,Core,L.3b,2
1032997,Core,L.4,2
1032997,Core,L.5,0
1032997,Core,L.6a,1
1032997,Core,L.6b,0
1032997,Supplementary,L.1a*,1
1032997,Supplementary,L.1b*,2
1032997,Supplementary,L.5*,1
1032997,Supplementary,L.7*,1
1032997,Supplementary,L.8*,1
1033464,Core,D.1,0
1033464,Core,D.2,0
1033464,Core,L.2a,2
1033464,Core,L.2b,2
1033464,Core,L.3a,0
1033464,Core,L.3b,1
1033464,Core,L.4,1
1033464,Core,L.5,0
1033464,Core,L.6a,1
1033464,Core,L.6b,0
1033464,Supplementary,L.1a*,1
1033464,Supplementary,L.1b*,2
1033464,Supplementary,L.5*,1
1033464,Supplementary,L.7*,0
1033464,Supplementary,L.8*,0
1033572,Core,D.1,0
1033572,Core,D.2,0
1033572,Core,L.2a,0
1033572,Core,L.2b,0
1033572,Core,L.3a,0
1033572,Core,L.3b,0
1033572,Core,L.4,1
1033572,Core,L.5,0
1033572,Core,L.6a,0
1033572,Core,L.6b,0
1033572,Supplementary,L.1a*,1
1033572,Supplementary,L.1b*,1
1033572,Supplementary,L.5*,1
1033572,Supplementary,L.7*,0
1033572,Supplementary,L.8*,0
1034104,Core,D.1,0
1034104,Core,D.2,0
1034104,Core,L.2a,2
1034104,Core,L.2b,3
1034104,Core,L.3a,1
1034104,Core,L.3b,1
1034104,Core,L.4,2
1034104,Core,L.5,0
1034104,Core,L.6a,1
1034104,Core,L.6b,1
1034104,Supplementary,L.1a*,3
1034104,Supplementary,L.1b*,3
1034104,Supplementary,L.5*,1
1034104,Supplementary,L.7*,1
1034104,Supplementary,L.8*,0
1034733,Core,D.1,0
1034733,Core,D.2,0
1034733,Core,L.2a,1
1034733,Core,L.2b,2
1034733,Core,L.3a,2
1034733,Core,L.3b,2
1034733,Core,L.4,3
1034733,Core,L.5,0
1034733,Core,L.6a,1
1034733,Core,L.6b,0
1034733,Supplementary,L.1a*,2
1034733,Supplementary,L.1b*,3
1034733,Supplementary,L.5*,1
1034733,Supplementary,L.7*,0
1034733,Supplementary,L.8*,0
1034736,Core,D.1,0
1034736,Core,D.2,0
1034736,Core,L.2a,0
1034736,Core,L.2b,1
1034736,Core,L.3a,1
1034736,Core,L.3b,1
1034736,Core,L.4,1
1034736,Core,L.5,0
1034736,Core,L.6a,1
1034736,Core,L.6b,0
1034736,Supplementary,L.1a*,1
1034736,Supplementary,L.1b*,2
1034736,Supplementary,L.5*,0
1034736,Supplementary,L.7*,0
1034736,Supplementary,L.8*,0
1035241,Core,D.1,0
1035241,Core,D.2,0
1035241,Core,L.2a,1
1035241,Core,L.2b,0
1035241,Core,L.3a,1
1035241,Core,L.3b,0
1035241,Core,L.4,2
1035241,Core,L.5,0
1035241,Core,L.6a,1
1035241,Core,L.6b,0
1035241,Supplementary,L.1a*,1
1035241,Supplementary,L.1b*,1
1035241,Supplementary,L.5*,2
1035241,Supplementary,L.7*,0
1035241,Supplementary,L.8*,1
1035703,Core,D.1,0
